Experiment Number, Current Level(A) , Vacuum Preasure (Torr) , Microwave Power (W), Gas, Density_1 (m^-3), Temperature_1 (eV), Plasma Potential_1 (V), Floating Potential_1 (V), Debye Length_1 (m), Larmor Radius_1 (m), Mean Free Path_1 (m),Start Time, End Time, di Max_ Time, Density_2 (m^-3), Temperature_2 (eV), Plasma Potential_2 (V), Floating Potential_2 (V), Debye Length_2 (m), Larmor Radius_2 (m), Mean Free Path_2 (m),Start Time, End Time, di Max_ Time, intial Time , Average Time, B Initial (Gauss) , B Average (Gauss),I-V File Name1, I-V File Name2, Time 
 A1 Mirror,400,0.00009,1000, Argon,2.08E+15,7.357168,15.6,-2.4,0.000442,-1,4922.226178, 20130101T161827, 20130101T161833, 20130101T161830,6.68E+14,57.407863,73.6,-1.2,0.002179,-1,931784.8126, 20130101T161827, 20130101T161835, 20130101T161833,0,0,0,0, A1 MirrorSLP120130611T161840.csv, A1 MirrorSLP220130611T161840.csv, 20130611T161840 
 A2 Mirror,480, NaN,200, Argon,3.47E+14,5.072415,8.8,-1.2,0.000899,-1,14021.95922, 20130101T165559, 20130101T165605, 20130101T165602,-1,-1,-1,-1,-1,-1,-1, 20130101T165559, 20130101T165607, 20130101T165559,0,0,0,0, A2 MirrorSLP120130611T165612.csv, A2 MirrorSLP220130611T165612.csv, 20130611T165612 
 A2 Mirror,480, NaN,200, Argon,3.84E+14,5.627335,10,-1.6,0.0009,-1,15576.84939, 20130101T165627, 20130101T165632, 20130101T165629,-1,-1,-1,-1,-1,-1,-1, 20130101T165627, 20130101T165635, 20130101T165627,0,0,0,0, A2 MirrorSLP120130611T165640.csv, A2 MirrorSLP220130611T165640.csv, 20130611T165640 
 A2 Mirror,480, NaN,200, Argon,3.48E+14,5.984031,9.2,-2.8,0.000974,-1,19415.9444, 20130101T165647, 20130101T165653, 20130101T165650,-1,-1,-1,-1,-1,-1,-1, 20130101T165648, 20130101T165655, 20130101T165648,0,0,0,0, A2 MirrorSLP120130611T165701.csv, A2 MirrorSLP220130611T165701.csv, 20130611T165701 
 A2 Mirror,480,0.0001,400, Argon,3.75E+14,5.950322,11.2,-1.2,0.000937,-1,17840.25893, 20130101T165911, 20130101T165916, 20130101T165913,1.96E+14,7.944175,11.6,-1.2,0.001497,-1,60886.96247, 20130101T165911, 20130101T165919, 20130101T165915,0,0,0,0, A2 MirrorSLP120130611T165924.csv, A2 MirrorSLP220130611T165924.csv, 20130611T165924 
 A2 Mirror,480,0.0001,400, Argon,2.69E+14,5.001416,8.8,-1.2,0.001013,-1,17546.90116, 20130101T165933, 20130101T165939, 20130101T165936,2.07E+14,9.321638,13.2,-1.2,0.001576,-1,79134.35891, 20130101T165934, 20130101T165942, 20130101T165938,0,0,0,0, A2 MirrorSLP120130611T165946.csv, A2 MirrorSLP220130611T165946.csv, 20130611T165946 
 A2 Mirror,480,0.0001,400, Argon,3.85E+14,6.262297,10.4,-2.8,0.000948,-1,19241.63644, 20130101T165959, 20130101T170005, 20130101T170002,-1,-1,-1,-1,-1,-1,-1, 20130101T165959, 20130101T170007, 20130101T165959,0,0,0,0, A2 MirrorSLP120130611T170020.csv, A2 MirrorSLP220130611T170020.csv, 20130611T170020 
 A2 Mirror,470,0.0001,600, Argon,4.84E+14,6.667732,10.4,-3.2,0.000873,-1,17362.01916, 20130101T170150, 20130101T170156, 20130101T170153,2.15E+14,9.140306,12.8,-1.6,0.001531,-1,73263.87537, 20130101T170150, 20130101T170158, 20130101T170154,0,0,0,0, A2 MirrorSLP120130611T170204.csv, A2 MirrorSLP220130611T170204.csv, 20130611T170204 
 A2 Mirror,470,0.0001,600, Argon,5.22E+14,6.743063,10.8,-3.2,0.000845,-1,16459.16499, 20130101T170217, 20130101T170222, 20130101T170219,-1,-1,-1,-1,-1,-1,-1, 20130101T170217, 20130101T170225, 20130101T170217,0,0,0,0, A2 MirrorSLP120130611T170230.csv, A2 MirrorSLP220130611T170230.csv, 20130611T170230 
 A2 Mirror,470,0.0001,600, Argon,5.12E+14,6.811833,10.8,-3.2,0.000858,-1,17126.4091, 20130101T170253, 20130101T170259, 20130101T170256,-1,-1,-1,-1,-1,-1,-1, 20130101T170253, 20130101T170301, 20130101T170253,0,0,0,0, A2 MirrorSLP120130611T170306.csv, A2 MirrorSLP220130611T170306.csv, 20130611T170306 
 A2 Mirror,450,0.0001,800, Argon,5.07E+14,6.591736,10.4,-3.2,0.000848,-1,16196.47538, 20130101T170548, 20130101T170554, 20130101T170551,2.66E+14,7.661247,12,-1.2,0.001262,-1,41676.34134, 20130101T170549, 20130101T170556, 20130101T170552,0,0,0,0, A2 MirrorSLP120130611T170601.csv, A2 MirrorSLP220130611T170601.csv, 20130611T170601 
 A2 Mirror,450,0.0001,800, Argon,4.30E+14,6.33194,9.6,-3.2,0.000902,-1,17606.09398, 20130101T170614, 20130101T170619, 20130101T170616,2.26E+14,9.354156,13.2,-1.6,0.001511,-1,73006.07202, 20130101T170614, 20130101T170622, 20130101T170618,0,0,0,0, A2 MirrorSLP120130611T170627.csv, A2 MirrorSLP220130611T170627.csv, 20130611T170627 
 A2 Mirror,450,0.0001,800, Argon,4.25E+14,6.538031,10,-3.2,0.000922,-1,19005.51361, 20130101T170640, 20130101T170646, 20130101T170643,2.46E+14,7.259437,10.8,-1.2,0.001278,-1,40502.98342, 20130101T170644, 20130101T170651, 20130101T170647,0,0,0,0, A2 MirrorSLP120130611T170658.csv, A2 MirrorSLP220130611T170658.csv, 20130611T170658 
 A2 Mirror,460,0.0001,1000, Argon,3.75E+14,5.924188,10,-1.6,0.000934,-1,17660.75492, 20130101T170832, 20130101T170838, 20130101T170835,2.21E+14,8.108458,12,-0.8,0.001423,-1,56116.82975, 20130101T170832, 20130101T170840, 20130101T170836,0,0,0,0, A2 MirrorSLP120130611T170845.csv, A2 MirrorSLP220130611T170845.csv, 20130611T170845 
 A2 Mirror,460,0.0001,1000, Argon,3.84E+14,5.619353,9.6,-1.6,0.0009,-1,15545.05301, 20130101T170855, 20130101T170901, 20130101T170858,2.24E+14,9.096369,13.2,-1.2,0.0015,-1,69914.69122, 20130101T170855, 20130101T170903, 20130101T170859,0,0,0,0, A2 MirrorSLP120130611T170908.csv, A2 MirrorSLP220130611T170908.csv, 20130611T170908 
 A2 Mirror,460,0.0001,1000, Argon,3.82E+14,5.827235,10,-1.6,0.000918,-1,16774.74209, 20130101T170920, 20130101T170926, 20130101T170923,2.39E+14,9.56805,14,-1.2,0.001487,-1,72310.35002, 20130101T170920, 20130101T170928, 20130101T170924,0,0,0,0, A2 MirrorSLP120130611T170933.csv, A2 MirrorSLP220130611T170933.csv, 20130611T170933 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
